logFC,logCPM,LR,PValue,FDR,gene
-0.9244888262679712,5.600995662204252,12.14523019407509,4.921356709042528e-4,0.011350577285620372,SMIM22
-0.5947358248434718,8.813909951055933,12.142702403611139,4.92803156838796e-4,0.011350577285620372,LOC128125822
1.4910921572098639,1.6374015739839656,12.123572505810792,4.97884292574062e-4,0.011377134275156983,SLC26A7
1.0591994663986246,5.465323080938159,12.11412509438152,5.00413113691638e-4,0.011377134275156983,C5AR2
-2.6269963626519486,2.003935122324467,12.039658194765188,5.20805207026796e-4,0.01176485608693865,TMPRSS11E
-1.4686126003831421,3.020372964455127,11.906000680309297,5.595340188879915e-4,0.012559222181918994,HRK
-0.7924922390714105,6.5510210836744625,11.700648723605909,6.247831184099602e-4,0.013935036134662657,PTGER4
1.4450077567735296,2.2037231149730956,11.521441698954117,6.879801291937109e-4,0.015248062737601492,NAP1L1P1
1.1612406823042885,4.027234670652678,11.490755019064174,6.994321864834259e-4,0.015404993907297453,ZG16B
-1.2550909872995162,4.573411183148971,11.432453110577853,7.217233556782271e-4,0.015748855685830936,CEBPA
1.7651123345111295,0.9823796076036464,11.42664601041168,7.23982582606303e-4,0.015748855685830936,CFAP96
-0.7366811800370013,9.610886925721282,11.346056326864755,7.560835196642082e-4,0.016346247382188157,MYO1E
0.7511091292766675,7.553257516196632,11.276929896393256,7.84762298543383e-4,0.016862819146749277,SAP30
-1.028698998093523,4.936862509010158,11.159832104694667,8.358748737173642e-4,0.017852260939272675,EPHX4
-1.0652201004837276,7.178124285799725,11.050845707787744,8.864675282635777e-4,0.01881874439518583,S100P
1.3268860755929555,3.1465997482452432,11.023468519096209,8.996557480496309e-4,0.0189843524318976,RGS17
-1.6101467321996903,5.818512947988783,10.945455588759756,9.383347146099109e-4,0.01958674562390633,S100A7
-0.7198833553783265,7.852410921956014,10.943513115897758,9.393189586947132e-4,0.01958674562390633,TUBB2A
-1.4535663181920377,11.755977540087748,10.805581143528798,0.0010119455386154131,0.020952579613101742,KRT6B
-0.5784968219438582,8.735943593446443,10.79688295254465,0.0010167114397957996,0.020952579613101742,DDX47
-1.3382453379620418,2.0285513026575246,10.76275749282585,0.0010356296906488072,0.021218366452595328,H3C6
-0.759968704417229,6.365876991174655,10.726970502769788,0.001055851696340039,0.021507638022556633,CHMP4C
2.333059656198729,-0.4045426024548838,10.563118943966023,0.0011536637295967707,0.023365005649994365,VEGFD
-0.6706134054536359,6.786273034884636,10.490868022495578,0.0011996599800459219,0.02415772439818188,ARHGAP27
-0.974026572223952,5.506093586163125,10.476065169787901,0.001209310448296922,0.024200722916648345,ELOVL4
0.89279508285075,5.191655574246352,10.466588107284093,0.001215530067039375,0.024200722916648345,TMEM156
-1.8454073576893424,4.342768204780732,10.398429917796058,0.0012612250797806213,0.024969422365993876,BBOX1
-0.5848996027592733,8.004545663374751,10.378534903458153,0.00127488820850186,0.025098916462349467,PSCA
-1.464574685766385,4.023578719887598,10.31539348931522,0.0013192516467124126,0.025828015572303013,IL13RA2
-1.690076336582828,0.8053819880249573,10.210568045884969,0.0013963815649328639,0.02718700903217355,RPS2P29
0.742333752436733,6.648642114362256,10.179435800887404,0.0014201562997474828,0.027497971430275433,FOXC2
-1.3916757840854526,1.8624907649775502,10.149671598011247,0.0014432695108528369,0.027792796482215287,EGR3
